,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
548,27.0,Masculino,São Paulo (SP),Analista de BI,Júnior,5000.0,Até 2 anos,Branca,Sudeste
549,28.0,Masculino,Ceará (CE),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca,Nordeste
550,30.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
551,38.0,Feminino,São Paulo (SP),Analista de BI,Júnior,5000.0,Até 2 anos,Parda,Sudeste
552,30.0,Masculino,Paraná (PR),Cientista de dados,Sênior,10000.0,de 4 a 6 anos,Branca,
553,,,,,,,,,Desconhecida
554,33.0,Feminino,Minas Gerais (MG),Analista de Dados,Sênior,7000.0,de 3 a 4 anos,Branca,Sudeste
555,27.0,Masculino,Espírito Santo (ES),,,14000.0,de 7 a 10 anos,Branca,Sudeste
556,38.0,Masculino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sudeste
557,47.0,Masculino,São Paulo (SP),Outra opção,Sênior,2500.0,Mais de 10 anos,Parda,Sudeste
558,43.0,Masculino,São Paulo (SP),,,27500.0,Até 2 anos,Parda,Sudeste
559,24.0,Masculino,Santa Catarina (SC),Cientista de dados,Júnior,10000.0,Até 2 anos,Branca,
560,27.0,Masculino,São Paulo (SP),Analista de Dados,Júnior,3500.0,de 3 a 4 anos,Amarela,Sudeste
561,19.0,Masculino,São Paulo (SP),,,,,Parda,Sudeste
562,35.0,Feminino,Rio de Janeiro (RJ),Outra opção,Sênior,10000.0,de 3 a 4 anos,Parda,Sudeste
563,40.0,Masculino,Santa Catarina (SC),,,35000.0,Mais de 10 anos,Branca,
564,,,,,,,,,Desconhecida
565,36.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,Mais de 10 anos,Branca,Sudeste
566,34.0,Masculino,São Paulo (SP),,,18000.0,Mais de 10 anos,Branca,Sudeste
567,25.0,Feminino,Amazonas (AM),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Parda,Norte
568,31.0,Masculino,Paraná (PR),Engenheiro de dados,Pleno,3500.0,de 7 a 10 anos,Branca,
569,19.0,Masculino,São Paulo (SP),Analista de BI,Júnior,1500.0,Até 2 anos,Branca,Sudeste
570,33.0,Masculino,Santa Catarina (SC),,,18000.0,de 7 a 10 anos,Parda,
571,32.0,Masculino,Santa Catarina (SC),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Branca,
572,40.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Parda,Sudeste
573,28.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Júnior,1500.0,Até 2 anos,Branca,Sudeste
574,34.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Parda,Sudeste
575,37.0,Masculino,Minas Gerais (MG),,,18000.0,Mais de 10 anos,Branca,Sudeste
576,48.0,Masculino,Rio de Janeiro (RJ),,,18000.0,Mais de 10 anos,Parda,Sudeste
