,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
1317,1317,27.0,Masculino,Rio Grande do Norte (RN),Analista de BI,Sênior,5000.0,de 7 a 10 anos,Parda,Nordeste
1318,1318,35.0,Feminino,Ceará (CE),Analista de Dados,Júnior,5000.0,Mais de 10 anos,Branca,Nordeste
1319,1319,28.0,Feminino,Pernambuco (PE),,,7000.0,Até 2 anos,Parda,Nordeste
1320,1320,31.0,Masculino,Santa Catarina (SC),Analista de BI,Pleno,10000.0,de 3 a 4 anos,Branca,Sul
1321,1321,61.0,Feminino,Minas Gerais (MG),Outra opção,Pleno,3500.0,Até 2 anos,Branca,Sudeste
1322,1322,44.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 4 a 6 anos,Parda,Sudeste
1323,1323,34.0,Masculino,Minas Gerais (MG),Engenheiro de dados,Pleno,7000.0,de 7 a 10 anos,Parda,Sudeste
1324,1324,34.0,Feminino,Minas Gerais (MG),,,10000.0,Mais de 10 anos,Branca,Sudeste
1325,1325,29.0,Masculino,Espírito Santo (ES),,,14000.0,de 4 a 6 anos,Parda,Sudeste
1326,1326,37.0,Masculino,Rio Grande do Sul (RS),Outra opção,Sênior,10000.0,de 3 a 4 anos,Branca,Sul
1327,1327,18.0,Masculino,São Paulo (SP),,,1000.0,Até 2 anos,Branca,Sudeste
1328,1328,49.0,Masculino,Santa Catarina (SC),,,22500.0,Mais de 10 anos,Branca,Sul
1329,1329,43.0,Masculino,Rio Grande do Sul (RS),,,,,Branca,Sul
1330,1330,33.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Pleno,7000.0,de 4 a 6 anos,Preta,Sudeste
1331,1331,28.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,5000.0,de 3 a 4 anos,Branca,Sudeste
1332,1332,27.0,Masculino,Minas Gerais (MG),,,18000.0,de 3 a 4 anos,Branca,Sudeste
